[2024-09-19 13:13:44.270] [info] Server started
[2024-09-19 13:13:44.270] [info] Server listening on: 0.0.0.0:3000
[2024-09-19 13:13:47.332] [debug] New connection from 127.0.0.1:54623
[2024-09-19 13:13:47.334] [debug] HTTP request from 127.0.0.1:54623 /engine/create
[2024-09-19 13:13:47.336] [debug] HTTP request from 127.0.0.1:54623 /engine/create
[2024-09-19 13:13:47.337] [info] Create engine: u88kv6
[2024-09-19 13:13:47.347] [debug] New connection from 127.0.0.1:54627
[2024-09-19 13:13:47.347] [debug] WebSocket upgrade request from 127.0.0.1:54627
[2024-09-19 13:13:47.347] [debug] Engine name: u88kv6
[2024-09-19 13:13:47.349] [debug] Received message: set_fps 30
[2024-09-19 13:13:47.385] [trace] Render time: 1 ms
[2024-09-19 13:13:47.459] [trace] Render time: 1 ms
[2024-09-19 13:13:47.556] [trace] Render time: 1 ms
[2024-09-19 13:13:47.656] [trace] Render time: 2 ms
[2024-09-19 13:13:47.786] [trace] Render time: 1 ms
[2024-09-19 13:13:47.868] [trace] Render time: 1 ms
[2024-09-19 13:13:47.950] [trace] Render time: 1 ms
[2024-09-19 13:13:48.032] [trace] Render time: 1 ms
[2024-09-19 13:13:48.115] [trace] Render time: 1 ms
[2024-09-19 13:13:48.196] [trace] Render time: 1 ms
[2024-09-19 13:13:48.278] [trace] Render time: 1 ms
[2024-09-19 13:13:48.358] [trace] Render time: 1 ms
[2024-09-19 13:13:48.439] [trace] Render time: 1 ms
[2024-09-19 13:13:48.523] [trace] Render time: 1 ms
[2024-09-19 13:13:48.606] [trace] Render time: 1 ms
[2024-09-19 13:13:48.687] [trace] Render time: 1 ms
[2024-09-19 13:13:48.786] [trace] Render time: 1 ms
[2024-09-19 13:13:48.886] [trace] Render time: 1 ms
[2024-09-19 13:13:48.967] [trace] Render time: 1 ms
[2024-09-19 13:13:49.050] [trace] Render time: 1 ms
[2024-09-19 13:13:49.132] [trace] Render time: 1 ms
[2024-09-19 13:13:49.214] [trace] Render time: 1 ms
[2024-09-19 13:13:49.296] [trace] Render time: 1 ms
[2024-09-19 13:13:49.378] [trace] Render time: 1 ms
